Index,Name,R DMX,G DMX,B DMX,W DMX,A DMX,sR,sG,sB,Brightness,Brightness Name,Color Group,Category,Temperature
1,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=170 (Mid),0,0,0,0,170,85,63,0,85,Dim,deep orange,warm,very-warm
2,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=255 (Full),0,0,0,0,255,127,95,0,85,Dim,deep orange,warm,very-warm
15,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),0,0,85,0,170,85,63,85,85,Dim,gray,neutral,neutral
16,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=255 (Full),0,0,85,0,255,127,95,85,85,Dim,deep red,warm,neutral
29,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),0,0,170,0,85,42,31,170,85,Dim,blue,cool,very-cool
30,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),0,0,170,0,170,85,63,170,85,Dim,blue,cool,cool
31,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=255 (Full),0,0,170,0,255,127,95,170,85,Dim,blue,cool,neutral
44,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=85 (Dim),0,0,255,0,85,42,31,255,85,Dim,blue,cool,very-cool
45,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=170 (Mid),0,0,255,0,170,85,63,255,85,Dim,blue,cool,cool
46,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=255 (Full),0,0,255,0,255,127,95,255,85,Dim,blue,cool,cool
251,R=85 (Dim) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=85 (Dim),85,0,0,0,85,127,31,0,85,Dim,deep red-orange,warm,very-warm
252,R=85 (Dim) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=170 (Mid),85,0,0,0,170,170,63,0,85,Dim,red-orange,warm,very-warm
253,R=85 (Dim) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=255 (Full),85,0,0,0,255,212,95,0,85,Dim,red-orange,warm,very-warm
266,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),85,0,85,0,85,127,31,85,85,Dim,deep red,warm,neutral
267,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),85,0,85,0,170,170,63,85,85,Dim,red,warm,warm
268,R=85 (Dim) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=255 (Full),85,0,85,0,255,212,95,85,170,Mid,red,warm,warm
3,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=0 (Off),0,0,0,85,0,42,42,42,85,Dim,dark gray,neutral,neutral
4,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=85 (Dim),0,0,0,85,85,85,74,42,85,Dim,deep orange,warm,warm
5,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=170 (Mid),0,0,0,85,170,127,106,42,85,Dim,deep orange,warm,very-warm
6,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=255 (Full),0,0,0,85,255,170,138,42,170,Mid,orange,warm,very-warm
7,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=170 (Mid) + A=0 (Off),0,0,0,170,0,85,85,85,85,Dim,gray,neutral,neutral
8,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=170 (Mid) + A=85 (Dim),0,0,0,170,85,127,116,85,85,Dim,deep red,warm,neutral
9,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=170 (Mid) + A=170 (Mid),0,0,0,170,170,170,148,85,170,Mid,orange,warm,warm
10,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=170 (Mid) + A=255 (Full),0,0,0,170,255,212,180,85,170,Mid,orange,warm,warm
11,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=255 (Full) + A=0 (Off),0,0,0,255,0,127,127,127,85,Dim,gray,neutral,neutral
12,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=255 (Full) + A=85 (Dim),0,0,0,255,85,170,159,127,170,Mid,magenta,cool,neutral
13,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=255 (Full) + A=170 (Mid),0,0,0,255,170,212,191,127,170,Mid,orange,warm,warm
14,R=0 (Off) + G=0 (Off) + B=0 (Off) + W=255 (Full) + A=255 (Full),0,0,0,255,255,255,223,127,255,Full,orange,warm,warm
17,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),0,0,85,85,0,42,42,127,85,Dim,deep blue,cool,very-cool
18,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),0,0,85,85,85,85,74,127,85,Dim,deep blue,cool,neutral
19,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=170 (Mid),0,0,85,85,170,127,106,127,85,Dim,gray,neutral,neutral
20,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=255 (Full),0,0,85,85,255,170,138,127,170,Mid,magenta,cool,neutral
21,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=0 (Off),0,0,85,170,0,85,85,170,85,Dim,blue,cool,cool
22,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=85 (Dim),0,0,85,170,85,127,116,170,85,Dim,blue,cool,neutral
23,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=170 (Mid),0,0,85,170,170,170,148,170,170,Mid,white,neutral,neutral
24,R=0 (Off) + G=0 (Off) + B=85 (Dim) + W=170 (Mid) + A=255 (Full),0,0,85,170,255,212,180,170,170,Mid,magenta,cool,neutral
32,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=0 (Off),0,0,170,85,0,42,42,212,85,Dim,blue,cool,very-cool
33,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=85 (Dim),0,0,170,85,85,85,74,212,85,Dim,blue,cool,cool
34,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=170 (Mid),0,0,170,85,170,127,106,212,85,Dim,blue,cool,cool
35,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=255 (Full),0,0,170,85,255,170,138,212,170,Mid,blue,cool,neutral
36,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=170 (Mid) + A=0 (Off),0,0,170,170,0,85,85,255,85,Dim,blue,cool,cool
37,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=170 (Mid) + A=85 (Dim),0,0,170,170,85,127,116,255,170,Mid,blue,cool,cool
38,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=170 (Mid) + A=170 (Mid),0,0,170,170,170,170,148,255,170,Mid,blue,cool,cool
39,R=0 (Off) + G=0 (Off) + B=170 (Mid) + W=170 (Mid) + A=255 (Full),0,0,170,170,255,212,180,255,170,Mid,pastel cyan,cool,neutral
47,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=0 (Off),0,0,255,85,0,42,42,255,85,Dim,blue,cool,very-cool
48,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=85 (Dim),0,0,255,85,85,85,74,255,85,Dim,blue,cool,cool
49,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=170 (Mid),0,0,255,85,170,127,106,255,170,Mid,blue,cool,cool
50,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=255 (Full),0,0,255,85,255,170,138,255,170,Mid,blue,cool,cool
51,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=170 (Mid) + A=0 (Off),0,0,255,170,0,85,85,255,85,Dim,blue,cool,cool
52,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=170 (Mid) + A=85 (Dim),0,0,255,170,85,127,116,255,170,Mid,blue,cool,cool
53,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=170 (Mid) + A=170 (Mid),0,0,255,170,170,170,148,255,170,Mid,blue,cool,cool
54,R=0 (Off) + G=0 (Off) + B=255 (Full) + W=170 (Mid) + A=255 (Full),0,0,255,170,255,212,180,255,170,Mid,pastel cyan,cool,neutral
59,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=0 (Off),0,85,0,0,0,0,85,0,85,Dim,deep green,cool,cool
60,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=85 (Dim),0,85,0,0,85,42,116,0,85,Dim,deep yellow-green,warm,very-warm
61,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=170 (Mid),0,85,0,0,170,85,148,0,85,Dim,deep yellow-green,warm,very-warm
62,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=255 (Full),0,85,0,0,255,127,180,0,170,Mid,yellow-green,warm,very-warm
63,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=0 (Off),0,85,0,85,0,42,127,42,85,Dim,deep green,cool,cool
64,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=85 (Dim),0,85,0,85,85,85,159,42,85,Dim,deep yellow-green,warm,warm
65,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=170 (Mid),0,85,0,85,170,127,191,42,170,Mid,yellow-green,warm,very-warm
66,R=0 (Off) + G=85 (Dim) + B=0 (Off) + W=85 (Dim) + A=255 (Full),0,85,0,85,255,170,223,42,170,Mid,yellow-green,warm,very-warm
75,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=0 (Off),0,85,85,0,0,0,85,85,85,Dim,deep cyan,cool,very-cool
76,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),0,85,85,0,85,42,116,85,85,Dim,deep teal,cool,cool
77,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),0,85,85,0,170,85,148,85,85,Dim,deep green,cool,cool
78,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=255 (Full),0,85,85,0,255,127,180,85,170,Mid,green,cool,neutral
79,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),0,85,85,85,0,42,127,127,85,Dim,deep cyan,cool,very-cool
80,R=0 (Off) + G=85 (Dim) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),0,85,85,85,85,85,159,127,170,Mid,deep teal,cool,neutral
